reviewid,title,url,score,best_new_music,author,author_type,pub_date,pub_weekday,pub_day,pub_month,pub_year
19344,ghost stories,http://pitchfork.com/reviews/albums/19344-coldplay-ghost-stories/,4.4,0,larry fitzmaurice,contributor,2014-05-20,1,20,5,2014
19338,full cold moon,http://pitchfork.com/reviews/albums/19338-cold-cave-full-cold-moon/,6.8,0,ian cohen,contributor,2014-05-20,1,20,5,2014
19389,l'amour,http://pitchfork.com/reviews/albums/19389-lewis-lamour/,8.6,1,stephen m. deusner,contributor,2014-05-20,1,20,5,2014
19241,some heavy ocean,http://pitchfork.com/reviews/albums/19241-emma-ruth-rundle-some-heavy-ocean/,7.4,0,jason heller,contributor,2014-05-20,1,20,5,2014
19331,stereo is king,http://pitchfork.com/reviews/albums/19331-mason-bates-stereo-is-king/,7.5,0,jayson greene,senior editor,2014-05-20,1,20,5,2014
19256,upside down mountain,http://pitchfork.com/reviews/albums/19256-conor-oberst-upside-down-mountain/,6.5,0,ian cohen,contributor,2014-05-19,0,19,5,2014
19362,winterspringsummerfall,http://pitchfork.com/reviews/albums/19362-boots-winterspringsummerfall/,5.7,0,kyle kramer,contributor,2014-05-19,0,19,5,2014
19347,the encyclopedia of arto lindsay,http://pitchfork.com/reviews/albums/19347-arto-lindsay-the-encyclopedia-of-arto-lindsay/,7.7,0,nick neyland,contributor,2014-05-19,0,19,5,2014
19298,volume x,http://pitchfork.com/reviews/albums/19298-trans-am-volume-x/,5,0,jason heller,contributor,2014-05-19,0,19,5,2014
19296,boys,http://pitchfork.com/reviews/albums/19296-herzog-boys/,7.2,0,jeremy gordon,contributor,2014-05-19,0,19,5,2014
19335,days of abandon,http://pitchfork.com/reviews/albums/19335-the-pains-of-being-pure-at-heart-days-of-abandon/,7.5,0,paul thompson,contributor,2014-05-16,4,16,5,2014
19269,the serpent & the sphere,http://pitchfork.com/reviews/albums/19269-agalloch-the-serpent-the-sphere/,8.3,0,grayson haver currin,contributor,2014-05-16,4,16,5,2014
19361,freebase ep,http://pitchfork.com/reviews/albums/19361-2-chainz-freebase-ep/,7.2,0,david turner,contributor,2014-05-16,4,16,5,2014
19386,metamodern sounds in country music,http://pitchfork.com/reviews/albums/19386-sturgill-simpson-metamodern-sounds-in-country-music/,7.7,0,stephen m. deusner,contributor,2014-05-16,4,16,5,2014
19357,ii,http://pitchfork.com/reviews/albums/19357-moon-b-ii/,6.9,0,andy beta,contributor,2014-05-16,4,16,5,2014
19333,xscape,http://pitchfork.com/reviews/albums/19333-michael-jackson-xscape/,4.1,0,douglas wolk,contributor,2014-05-15,3,15,5,2014
19233,easy pain,http://pitchfork.com/reviews/albums/19233-young-widows-easy-pain/,7.9,0,grayson haver currin,contributor,2014-05-15,3,15,5,2014
19230,sincerely yours,http://pitchfork.com/reviews/albums/19230-iamsu-sincerely-yours/,6,0,david turner,contributor,2014-05-15,3,15,5,2014
19268,hour of the dawn,http://pitchfork.com/reviews/albums/19268-la-sera-hour-of-the-dawn/,7.1,0,jeremy gordon,contributor,2014-05-15,3,15,5,2014
19334,membrane pop,http://pitchfork.com/reviews/albums/19334-sculpture-membrane-pop/,6.9,0,mike powell,contributor,2014-05-15,3,15,5,2014
19337,white women,http://pitchfork.com/reviews/albums/19337-chromeo-white-women/,7.6,0,jordan sargent,,2014-05-14,2,14,5,2014
19365,ep 1,http://pitchfork.com/reviews/albums/19365-low-pros-ep-1/,6.7,0,miles raymer,contributor,2014-05-14,2,14,5,2014
19309,yellow memories,http://pitchfork.com/reviews/albums/19309-fatima-yellow-memories/,6.8,0,devon maloney,contributor,2014-05-14,2,14,5,2014
19366,farmer's corner,http://pitchfork.com/reviews/albums/19366-wooden-wand-farmers-corner/,7.6,0,stephen m. deusner,contributor,2014-05-14,2,14,5,2014
19237,desideratum,http://pitchfork.com/reviews/albums/19237-planning-for-burial-desideratum/,7.9,0,andy o'connor,contributor,2014-05-14,2,14,5,2014
19329,turn blue,http://pitchfork.com/reviews/albums/19329-the-black-keys-turn-blue/,5.8,0,larry fitzmaurice,contributor,2014-05-13,1,13,5,2014
19336,cool planet,http://pitchfork.com/reviews/albums/19336-guided-by-voices-cool-planet/,6.2,0,jason heller,contributor,2014-05-13,1,13,5,2014
19323,american interior,http://pitchfork.com/reviews/albums/19323-gruff-rhys-american-interior/,8,0,stuart berman,contributor,2014-05-13,1,13,5,2014
19234,love,http://pitchfork.com/reviews/albums/19234-amen-dunes-love/,7.8,0,marc masters,contributor,2014-05-13,1,13,5,2014
19232,death,http://pitchfork.com/reviews/albums/19232-teitanblood-death/,7.4,0,kim kelly,contributor,2014-05-13,1,13,5,2014
19326,to be kind,http://pitchfork.com/reviews/albums/19326-swans-to-be-kind/,9.2,1,stuart berman,contributor,2014-05-12,0,12,5,2014
19327,nabuma rubberband,http://pitchfork.com/reviews/albums/19327-little-dragon-nabuma-rubberband/,6.8,0,harley brown,contributor,2014-05-12,0,12,5,2014
19265,changing light,http://pitchfork.com/reviews/albums/19265-mirah-changing-light/,6,0,brian howe,contributor,2014-05-12,0,12,5,2014
19266,bermuda waterfall,http://pitchfork.com/reviews/albums/19266-sean-nicholas-savage-blue-waterfall/,7,0,jeremy gordon,contributor,2014-05-12,0,12,5,2014
19351,alas rattoisaa virtaa,http://pitchfork.com/reviews/albums/19351-kemialliset-ystavat-alas-rattoisaa-virtaa/,7.6,0,winston cook-wilson,contributor,2014-05-12,0,12,5,2014
19320,southsiders,http://pitchfork.com/reviews/albums/19320-atmosphere-southsiders/,6.3,0,jayson greene,senior editor,2014-05-09,4,9,5,2014
19330,we on 1 ep,http://pitchfork.com/reviews/albums/19330-dj-rashad-we-on-1-ep/,7.8,0,nate patrin,contributor,2014-05-09,4,9,5,2014
19354,youth culture forever,http://pitchfork.com/reviews/albums/19354-paws-youth-culture-forever/,7.2,0,jeremy gordon,contributor,2014-05-09,4,9,5,2014
19350,best of boiler room classics,http://pitchfork.com/reviews/albums/19350-mike-adams-at-his-honest-weight-best-of-boiler-room-classics/,7.8,0,stephen m. deusner,contributor,2014-05-09,4,9,5,2014
19325,the god complex,http://pitchfork.com/reviews/albums/19325-goldlink-the-god-complex/,7.9,0,jayson greene,senior editor,2014-05-09,4,9,5,2014
19322,sheezus,http://pitchfork.com/reviews/albums/19322-lily-allen-sheezus/,5.4,0,lindsay zoladz,contributor,2014-05-08,3,8,5,2014
19270,tanh,http://pitchfork.com/reviews/albums/19270-lee-ar-2-tanha/,7.4,0,brian howe,contributor,2014-05-08,3,8,5,2014
19321,product of industry,http://pitchfork.com/reviews/albums/19321-mark-e-product-of-industry/,7,0,abby garnett,contributor,2014-05-08,3,8,5,2014
19324,in the hollows,http://pitchfork.com/reviews/albums/19324-nat-baldwin-in-the-hollows/,5.7,0,grayson haver currin,contributor,2014-05-08,3,8,5,2014
19328,divide and exit,http://pitchfork.com/reviews/albums/19328-sleaford-mods-divide-and-exit/,7.8,0,nick neyland,contributor,2014-05-08,3,8,5,2014
19317,ocean death ep,http://pitchfork.com/reviews/albums/19317-baths-ocean-death-ep/,7.8,0,jonah bromwich,contributor,2014-05-07,2,7,5,2014
19318,asiatisch,http://pitchfork.com/reviews/albums/19318-fatima-al-qadiri-asiatisch/,7.2,0,nick neyland,contributor,2014-05-07,2,7,5,2014
19263,ii,http://pitchfork.com/reviews/albums/19263-makthaverskan-ii/,7.5,0,ian cohen,contributor,2014-05-07,2,7,5,2014
19308,amber's stuff,http://pitchfork.com/reviews/albums/19308-sfv-acid-ambers-songs/,6.6,0,nate patrin,contributor,2014-05-07,2,7,5,2014
19231,histrionic,http://pitchfork.com/reviews/albums/19231-maria-minerva-histrionic/,6.8,0,jessica suarez,contributor,2014-05-07,2,7,5,2014
19314,nikki nack,http://pitchfork.com/reviews/albums/19314-tune-yards-nikki-nack/,8.1,0,mike powell,contributor,2014-05-06,1,6,5,2014
19315,luminous,http://pitchfork.com/reviews/albums/19315-the-horrors-luminous/,6.7,0,ian cohen,contributor,2014-05-06,1,6,5,2014
19262,heavy hearted in doldrums,http://pitchfork.com/reviews/albums/19262-antwon-heavy-hearted-in-doldrums/,7.3,0,zoe camp,contributor,2014-05-06,1,6,5,2014
19212,breathing statues,http://pitchfork.com/reviews/albums/19212-young-magic-breathing-statues/,4,0,ian cohen,contributor,2014-05-06,1,6,5,2014
19194,postsocial,http://pitchfork.com/reviews/albums/19194-wold-postsocial/,8,0,grayson haver currin,contributor,2014-05-06,1,6,5,2014
19312,i never learn,http://pitchfork.com/reviews/albums/19312-lykke-li-i-never-learn/,8.4,1,ian cohen,contributor,2014-05-05,0,5,5,2014
19313,someday world,http://pitchfork.com/reviews/albums/19313-brian-eno-karl-hyde-someday-world/,6.2,0,nick neyland,contributor,2014-05-05,0,5,5,2014
19264,artificial sweeteners,http://pitchfork.com/reviews/albums/19264-fujiya-miyagi-artificial-sweeteners/,5.8,0,brian howe,contributor,2014-05-05,0,5,5,2014
19316,life among the savages,http://pitchfork.com/reviews/albums/19316-papercuts-life-among-the-savages/,6.7,0,jamieson cox,contributor,2014-05-05,0,5,5,2014
19259,attica!,http://pitchfork.com/reviews/albums/19259-wussy-attica/,7.8,0,joel oliphint,contributor,2014-05-05,0,5,5,2014
19295,a letter home,http://pitchfork.com/reviews/albums/19295-neil-young-a-letter-home/,6.3,0,evan minsker,deputy news editor,2014-05-02,4,2,5,2014
19226,shrink dust,http://pitchfork.com/reviews/albums/19226-chad-vangaalen-shrink-dust/,7.8,0,lindsay zoladz,contributor,2014-05-02,4,2,5,2014
19260,libertine,http://pitchfork.com/reviews/albums/19260-silkworm-libertine/,7,0,mike powell,contributor,2014-05-02,4,2,5,2014
19299,threat to creation,http://pitchfork.com/reviews/albums/19299-creation-rebel-new-age-steppers-threat-to-creation/,8,0,miles raymer,contributor,2014-05-02,4,2,5,2014
19307,waiting for surfin bird,http://pitchfork.com/reviews/albums/19307-mincemeat-or-tenspeed-waiting-for-surfin-bird/,7.6,0,marc masters,contributor,2014-05-02,4,2,5,2014
19287,arcadia,http://pitchfork.com/reviews/albums/19287-ramona-lisa-arcadia/,6.8,0,katherine st. asaph,contributor,2014-05-01,3,1,5,2014
19222,nightclubbing,http://pitchfork.com/reviews/albums/19222-grace-jones-nightclubbing-deluxe-edition/,9,1,andy beta,contributor,2014-05-01,3,1,5,2014
19303,that's harakiri,http://pitchfork.com/reviews/albums/19303-sd-laika-thats-harakari/,7.1,0,nate patrin,contributor,2014-05-01,3,1,5,2014
19294,lost colony,http://pitchfork.com/reviews/albums/19294-william-tyler-lost-colony/,7.3,0,winston cook-wilson,contributor,2014-05-01,3,1,5,2014
19193,refractory obdurate,http://pitchfork.com/reviews/albums/19193-wovenhand-refractory-obdurate/,8.2,0,grayson haver currin,contributor,2014-05-01,3,1,5,2014
19285,food,http://pitchfork.com/reviews/albums/19285-kelis-food/,6.3,0,nate patrin,contributor,2014-04-30,2,30,4,2014
19291,bcs,http://pitchfork.com/reviews/albums/19291-fennesz-becs/,7.8,0,mark richardson,executive editor,2014-04-30,2,30,4,2014
19161,get back,http://pitchfork.com/reviews/albums/19161-pink-mountaintops-get-back/,4.9,0,grayson haver currin,contributor,2014-04-30,2,30,4,2014
19293,prins thomas iii,http://pitchfork.com/reviews/albums/19293-prins-thomas-prins-thomas-iii/,7.4,0,miles raymer,contributor,2014-04-30,2,30,4,2014
19243,loose power,http://pitchfork.com/reviews/albums/19243-survival-knife-loose-power/,7.2,0,jason heller,contributor,2014-04-30,2,30,4,2014
19248,more than any other day,http://pitchfork.com/reviews/albums/19248-ought-more-than-any-other-day/,8.4,1,stuart berman,contributor,2014-04-29,1,29,4,2014
19289,southern skies ep,http://pitchfork.com/reviews/albums/19289-yuck-southern-skies-ep/,5.3,0,ian cohen,contributor,2014-04-29,1,29,4,2014
19247,flashbacks and dream sequences: the story of the moles,http://pitchfork.com/reviews/albums/19247-the-moles-flashbacks-and-dream-sequences-the-story-of-the-moles/,8,0,matt lemay,contributor,2014-04-29,1,29,4,2014
19251,midnight passenger,http://pitchfork.com/reviews/albums/19251-ex-cult-midnight-passenger/,7,0,evan minsker,deputy news editor,2014-04-29,1,29,4,2014
19306,the honeymoon workbook,http://pitchfork.com/reviews/albums/19306-good-willsmith-the-honeymoon-workbook/,7.8,0,marc masters,contributor,2014-04-29,1,29,4,2014
19280,everyday robots,http://pitchfork.com/reviews/albums/19280-damon-albarn-everyday-robots/,7,0,mike powell,contributor,2014-04-28,0,28,4,2014
19286,shriek,http://pitchfork.com/reviews/albums/19286-wye-oak-shriek/,7.2,0,harley brown,contributor,2014-04-28,0,28,4,2014
19166, (krai),http://pitchfork.com/reviews/albums/19166-olga-bell-krai/,8,0,jayson greene,senior editor,2014-04-28,0,28,4,2014
19246,melancholia,http://pitchfork.com/reviews/albums/19246-william-basinski-melancholia/,7.4,0,nick neyland,contributor,2014-04-28,0,28,4,2014
19292,phantom vibrate ep,http://pitchfork.com/reviews/albums/19292-jacques-greene-phantom-vibrate-ep/,6.8,0,claire lobenfeld,contributor,2014-04-28,0,28,4,2014
19282,come on pilgrim,http://pitchfork.com/reviews/albums/19282-pixies-catalogue/,8.3,0,mike powell,contributor,2014-04-25,4,25,4,2014
19283,hang on to each other ep,http://pitchfork.com/reviews/albums/19283-thee-silver-mt-zion-memorial-orchestra-hang-on-to-each-other-ep/,6.4,0,nick neyland,contributor,2014-04-25,4,25,4,2014
19290,young thugga mane la flare,http://pitchfork.com/reviews/albums/19290-gucci-mane-young-thug-young-thugga-mane-la-flare/,6.9,0,david turner,contributor,2014-04-25,4,25,4,2014
19255,alien,http://pitchfork.com/reviews/albums/19255-larry-heard-alien-reissue/,7.8,0,andy beta,contributor,2014-04-25,4,25,4,2014
19275,love apparatus,http://pitchfork.com/reviews/albums/19275-jesse-boykins-iii-love-apparatus/,6.8,0,jordan sargent,,2014-04-25,4,25,4,2014
19277,drop,http://pitchfork.com/reviews/albums/19277-thee-oh-sees-drop/,7.8,0,stuart berman,contributor,2014-04-24,3,24,4,2014
19238,flemish altruism,http://pitchfork.com/reviews/albums/19238-a-minor-forest-flemish-altruism-inindependence/,7.9,0,jason heller,contributor,2014-04-24,3,24,4,2014
19261,who would ever want anything so broken? ep,http://pitchfork.com/reviews/albums/19261-beach-slang-who-would-ever-want-anything-so-broken-ep/,7.4,0,paul thompson,contributor,2014-04-24,3,24,4,2014
19189,nordraum,http://pitchfork.com/reviews/albums/19189-old-wainds-nordraum/,6,0,kim kelly,contributor,2014-04-24,3,24,4,2014
19284,doss ep,http://pitchfork.com/reviews/albums/19284-doss-doss-ep/,7.2,0,renato pagnani,contributor,2014-04-24,3,24,4,2014
19245,journey on: collected singles,http://pitchfork.com/reviews/albums/19245-songs-ohia-journey-on-collected-singles/,8.4,1,stephen m. deusner,contributor,2014-04-23,2,23,4,2014
19244,p.t.s.d. (post traumatic stress disorder),http://pitchfork.com/reviews/albums/19244-pharoahe-monch-ptsd-post-traumatic-stress-disorder/,6.6,0,kyle kramer,contributor,2014-04-23,2,23,4,2014
19236,ashes to ashes,http://pitchfork.com/reviews/albums/19236-final-conflict-ashes-to-ashes/,7.8,0,zoe camp,contributor,2014-04-23,2,23,4,2014
19273,weird drift,http://pitchfork.com/reviews/albums/19273-heterotic-weird-drift/,6.8,0,miles raymer,contributor,2014-04-23,2,23,4,2014
19254,boring ecstasy: the bedroom pop of orchid tapes,http://pitchfork.com/reviews/albums/19254-boring-ecstasy-the-bedroom-pop-of-orchid-tapes/,7.3,0,patrick st. michel,contributor,2014-04-23,2,23,4,2014
19221,honest,http://pitchfork.com/reviews/albums/19221-future-honest/,8.1,0,craig jenkins,contributor,2014-04-22,1,22,4,2014
19274,the air is on fire,http://pitchfork.com/reviews/albums/19274-david-lynch-the-air-is-on-fire/,7.8,0,marc masters,contributor,2014-04-22,1,22,4,2014
19276,loom,http://pitchfork.com/reviews/albums/19276-fear-of-men-loom/,6.8,0,t. cole rachel,contributor,2014-04-22,1,22,4,2014
19228,death iii,http://pitchfork.com/reviews/albums/19228-death-iii/,6.5,0,jason heller,contributor,2014-04-22,1,22,4,2014
19252,patterns ep,http://pitchfork.com/reviews/albums/19252-tourist-patterns-ep/,7.5,0,harley brown,contributor,2014-04-22,1,22,4,2014
19183,the long goodbye: lcd soundsystem live at madison square garden,http://pitchfork.com/reviews/albums/19183-lcd-soundsystem-the-long-goodbye-lcd-soundsystem-live-at-madison-square-garden/,8.1,0,ryan dombal,senior editor,2014-04-21,0,21,4,2014
19271,space project,http://pitchfork.com/reviews/albums/19271-space-project/,6.5,0,nick neyland,contributor,2014-04-21,0,21,4,2014
19272,word o.k.,http://pitchfork.com/reviews/albums/19272-kool-ad-word-ok/,6.7,0,jonah bromwich,contributor,2014-04-21,0,21,4,2014
19162,oblation,http://pitchfork.com/reviews/albums/19162-floor-oblation/,7,0,grayson haver currin,contributor,2014-04-21,0,21,4,2014
19227,the way & the color,http://pitchfork.com/reviews/albums/19227-teen-the-way-the-color/,6.6,0,jeremy gordon,contributor,2014-04-21,0,21,4,2014
19181,any other city,http://pitchfork.com/reviews/albums/19181-life-without-buildings-any-other-city/,8.7,1,lindsay zoladz,contributor,2014-04-18,4,18,4,2014
19192,live at le poisson rouge,http://pitchfork.com/reviews/albums/19192-j-spaceman-kid-millions-live-at-le-poisson-rouge/,6.9,0,nick neyland,contributor,2014-04-18,4,18,4,2014
19278,z,http://pitchfork.com/reviews/albums/19278-sza-z/,5.9,0,jordan sargent,,2014-04-18,4,18,4,2014
19216,yahoo or the highway,http://pitchfork.com/reviews/albums/19216-lockah-yahoo-or-the-highway/,7.7,0,andrew gaerig,contributor,2014-04-18,4,18,4,2014
19213,free to eat,http://pitchfork.com/reviews/albums/19213-plague-vendor-free-to-eat/,7.1,0,ian cohen,contributor,2014-04-18,4,18,4,2014
19156,quack,http://pitchfork.com/reviews/albums/19156-duck-sauce-quack/,7.5,0,larry fitzmaurice,contributor,2014-04-17,3,17,4,2014
19239,under the skin ost,http://pitchfork.com/reviews/albums/19239-mica-levi-under-the-skin-ost/,7.3,0,jayson greene,senior editor,2014-04-17,3,17,4,2014
19279,ghetto cuisine,http://pitchfork.com/reviews/albums/19279-davinci-sweet-valley-ghetto-cuisine/,7.1,0,jonah bromwich,contributor,2014-04-17,3,17,4,2014
19184,dizzy polizzy,http://pitchfork.com/reviews/albums/19184-purling-hiss-dizzy-polizzy-purling-hiss/,7.5,0,evan minsker,deputy news editor,2014-04-17,3,17,4,2014
18980,box set,http://pitchfork.com/reviews/albums/18980-for-against-box-set/,7.8,0,ned raggett,contributor,2014-04-17,3,17,4,2014
19182,spiderland,http://pitchfork.com/reviews/albums/19182-slint-spiderland-remastered-box-set/,10,1,stuart berman,contributor,2014-04-16,2,16,4,2014
19201,so it goes,http://pitchfork.com/reviews/albums/19201-ratking-so-it-goes/,7.5,0,kyle kramer,contributor,2014-04-16,2,16,4,2014
19173,make my head sing...,http://pitchfork.com/reviews/albums/19173-jessica-lea-mayfield-make-my-head-sing/,6.9,0,stephen m. deusner,contributor,2014-04-16,2,16,4,2014
19218,ineffable,http://pitchfork.com/reviews/albums/19218-dj-q-ineffable/,7.5,0,tim finney,,2014-04-16,2,16,4,2014
19211,half-eaten guitar,http://pitchfork.com/reviews/albums/19211-wyrd-visions-half-eaten-guitar/,7.8,0,jayson greene,senior editor,2014-04-16,2,16,4,2014
19214,do to the beast,http://pitchfork.com/reviews/albums/19214-the-afghan-whigs-do-to-the-beast/,7.6,0,stephen m. deusner,contributor,2014-04-15,1,15,4,2014
19153,yeah yeah yeah yeah,http://pitchfork.com/reviews/albums/19153-bikini-kill-yeah-yeah-yeah-yeah/,8.6,1,jenn pelly,associate reviews editor,2014-04-15,1,15,4,2014
19224,built on glass,http://pitchfork.com/reviews/albums/19224-chet-faker-built-on-glass/,7.3,0,jake cleland,contributor,2014-04-15,1,15,4,2014
19190,sound houses,http://pitchfork.com/reviews/albums/19190-wallsoram-sound-houses/,7,0,nick neyland,contributor,2014-04-15,1,15,4,2014
19249,world of joy,http://pitchfork.com/reviews/albums/19249-howler-world-of-joy/,5.9,0,paul thompson,contributor,2014-04-15,1,15,4,2014
19205,with light and with love,http://pitchfork.com/reviews/albums/19205-woods-with-light-and-with-love/,7.9,0,ian cohen,contributor,2014-04-14,0,14,4,2014
19235,the both,http://pitchfork.com/reviews/albums/19235-the-both-the-both/,5.4,0,stephen m. deusner,contributor,2014-04-14,0,14,4,2014
19154,canyons cars and crows,http://pitchfork.com/reviews/albums/19154-amps-for-christ-canyons-cars-and-crows/,7.1,0,jason heller,contributor,2014-04-14,0,14,4,2014
19187,ghetto ghouls,http://pitchfork.com/reviews/albums/19187-ghetto-ghouls-ghetto-ghouls/,7.4,0,evan minsker,deputy news editor,2014-04-14,0,14,4,2014
19191,unholy congregation of hypocritical ambivalence,http://pitchfork.com/reviews/albums/19191-impetuous-ritual-unholy-congregation-of-hypocritical-ambivalence/,7.9,0,andy o'connor,contributor,2014-04-14,0,14,4,2014
19250,broken ankles ep,http://pitchfork.com/reviews/albums/19250-girl-talk-freeway-broken-ankles-ep/,7.4,0,jayson greene,senior editor,2014-04-11,4,11,4,2014
19209,old fears,http://pitchfork.com/reviews/albums/19209-school-of-language-old-fears/,7.4,0,jeremy d. larson,contributor,2014-04-11,4,11,4,2014
19210,silent ascent,http://pitchfork.com/reviews/albums/19210-downliners-sekt-silent-ascent/,6.4,0,larry fitzmaurice,contributor,2014-04-11,4,11,4,2014
18858,lithium burn,http://pitchfork.com/reviews/albums/18858-deleted-scenes-lithium-burn/,6.5,0,ian cohen,contributor,2014-04-11,4,11,4,2014
19155,melana chasmata,http://pitchfork.com/reviews/albums/19155-triptykon-melana-chasmata/,7.7,0,andy o'connor,contributor,2014-04-11,4,11,4,2014
19208,the future's void,http://pitchfork.com/reviews/albums/19208-ema-the-futures-void/,7.4,0,mark richardson,executive editor,2014-04-10,3,10,4,2014
18970,convertibles,http://pitchfork.com/reviews/albums/18970-chuck-inglish-convertibles/,6,0,renato pagnani,contributor,2014-04-10,3,10,4,2014
19223,spiritual,http://pitchfork.com/reviews/albums/19223-cute-heels-spiritual/,7.2,0,miles raymer,contributor,2014-04-10,3,10,4,2014
19225,seer,http://pitchfork.com/reviews/albums/19225-golden-retriever-seer/,7.4,0,colin joyce,contributor,2014-04-10,3,10,4,2014
19188,tweens,http://pitchfork.com/reviews/albums/19188-tweens-tweens/,6.3,0,ian cohen,contributor,2014-04-10,3,10,4,2014
19240,the infamous,http://pitchfork.com/reviews/albums/19240-mobb-deep-the-infamous-the-infamous-mobb-deep/,10,1,jayson greene,senior editor,2014-04-09,2,9,4,2014
19242,music for robots,http://pitchfork.com/reviews/albums/19242-squarepusher-z-machines-music-for-robots/,5.7,0,nick neyland,contributor,2014-04-09,2,9,4,2014
19203,dances in dreams of the known unknown,http://pitchfork.com/reviews/albums/19203-the-skull-defekts-dancing-in-dreams-of-the-known-unknown/,6.8,0,jason heller,contributor,2014-04-09,2,9,4,2014
19202,tremors,http://pitchfork.com/reviews/albums/19202-sohn-tremors/,5,0,ian cohen,contributor,2014-04-09,2,9,4,2014
19197,ryonen,http://pitchfork.com/reviews/albums/19197-man-forever-ryonen/,6.8,0,marc masters,contributor,2014-04-09,2,9,4,2014
19200,enter the slasher house,http://pitchfork.com/reviews/albums/19200-avey-tares-slasher-flicks-enter-the-slasher-house/,7.3,0,stuart berman,contributor,2014-04-08,1,8,4,2014
19151,wasted years,http://pitchfork.com/reviews/albums/19151-off-wasted-years/,6.2,0,evan minsker,deputy news editor,2014-04-08,1,8,4,2014
19196,"oh, common life",http://pitchfork.com/reviews/albums/19196-fireworks-oh-common-life/,7.8,0,ian cohen,contributor,2014-04-08,1,8,4,2014
19074,the mother of virtues,http://pitchfork.com/reviews/albums/19074-pyrrhon-the-mother-of-virtues/,7.7,0,grayson haver currin,contributor,2014-04-08,1,8,4,2014
19207,exits,http://pitchfork.com/reviews/albums/19207-loops-haunt-exits/,6.6,0,andrew gaerig,contributor,2014-04-08,1,8,4,2014
19148,it's album time,http://pitchfork.com/reviews/albums/19148-todd-terje-its-album-time/,8.7,1,mike powell,contributor,2014-04-07,0,7,4,2014
19150,under color of official right,http://pitchfork.com/reviews/albums/19150-protomartyr-under-color-of-official-right/,8.1,0,evan minsker,deputy news editor,2014-04-07,0,7,4,2014
19220,young & sick,http://pitchfork.com/reviews/albums/19220-young-sick-young-sick/,6.3,0,kyle kramer,contributor,2014-04-07,0,7,4,2014
19149,visibility is a trap,http://pitchfork.com/reviews/albums/19149-dalhous-visibility-is-a-trap/,7.4,0,miles raymer,contributor,2014-04-07,0,7,4,2014
19217,here be monsters,http://pitchfork.com/reviews/albums/19217-jon-langford-here-be-monsters/,7,0,jason heller,contributor,2014-04-07,0,7,4,2014
19215,smell the d.a.i.s.y.,http://pitchfork.com/reviews/albums/19215-de-la-soul-smell-the-daisy/,7.5,0,nate patrin,contributor,2014-04-04,4,4,4,2014
19186,doom abuse,http://pitchfork.com/reviews/albums/19186-the-faint-doom-abuse/,6.1,0,ian cohen,contributor,2014-04-04,4,4,4,2014
19152,e s t a r a,http://pitchfork.com/reviews/albums/19152-teebs-e-s-t-a-r-a/,6.7,0,nate patrin,contributor,2014-04-04,4,4,4,2014
19177,baby,http://pitchfork.com/reviews/albums/19177-white-hinterland-baby/,7.2,0,paula mejia,contributor,2014-04-04,4,4,4,2014
19206,remember me,http://pitchfork.com/reviews/albums/19206-sage-the-gemini-remember-me/,7.5,0,craig jenkins,contributor,2014-04-04,4,4,4,2014
19199,sisyphus ,http://pitchfork.com/reviews/albums/19199-sisyphus-sisyphus/,6.2,0,jeremy d. larson,contributor,2014-04-03,3,3,4,2014
19180,i shall die here,http://pitchfork.com/reviews/albums/19180-the-body-i-shall-die-here/,7.8,0,nick neyland,contributor,2014-04-03,3,3,4,2014
19147,drop the vowels,http://pitchfork.com/reviews/albums/19147-millie-andrea-drop-the-vowels/,7.9,0,larry fitzmaurice,contributor,2014-04-03,3,3,4,2014
19143,range of light,http://pitchfork.com/reviews/albums/19143-s-carey-range-of-light/,7.3,0,jeremy d. larson,contributor,2014-04-03,3,3,4,2014
19163,nux vomica,http://pitchfork.com/reviews/albums/19163-nux-vomica-nux-vomica/,8,0,kim kelly,contributor,2014-04-03,3,3,4,2014
18864,memoryhouse,http://pitchfork.com/reviews/albums/18864-max-richter-memoryhouse/,8.7,0,grayson haver currin,contributor,2014-04-02,2,2,4,2014
19175,inventions,http://pitchfork.com/reviews/albums/19175-inventions-inventions/,7.5,0,mark richardson,executive editor,2014-04-02,2,2,4,2014
19172,crystal cult 2080,http://pitchfork.com/reviews/albums/19172-legowelt-crystal-cult-2080/,7.7,0,andrew gaerig,contributor,2014-04-02,2,2,4,2014
19171,yearling,http://pitchfork.com/reviews/albums/19171-orcas-yearling/,7,0,brian howe,contributor,2014-04-02,2,2,4,2014
19178,now + 4eva,http://pitchfork.com/reviews/albums/19178-architecture-in-helsinki-now-4eva/,5.2,0,jamieson cox,contributor,2014-04-02,2,2,4,2014
19170,salad days,http://pitchfork.com/reviews/albums/19170-mac-demarco-salad-days/,8.5,1,marc hogan,senior staff writer,2014-04-01,1,1,4,2014
19174,angel,http://pitchfork.com/reviews/albums/19174-pure-x-angel/,7.4,0,miles raymer,contributor,2014-04-01,1,1,4,2014
19195,through force of will,http://pitchfork.com/reviews/albums/19195-luke-wyatt-through-force-of-will/,7.5,0,nick neyland,contributor,2014-04-01,1,1,4,2014
19145,cope,http://pitchfork.com/reviews/albums/19145-manchester-orchestra-cope/,5.6,0,ian cohen,contributor,2014-04-01,1,1,4,2014
19025,amusements,http://pitchfork.com/reviews/albums/19025-ausmuteants-amusements/,7.3,0,evan minsker,deputy news editor,2014-04-01,1,1,4,2014
