Title,Plot
Invasion of the Body Snatchers,"A race of gelatinous alien creatures abandon their dying world. They make their way to Earth and land in San Francisco. They fall on plant leaves, assimilating them and forming small pods with pink flowers. Elizabeth Driscoll, an employee at the San Francisco Health Department, is one of several people who bring the flowers home.
The next morning, Elizabeth's boyfriend, Geoffrey Howell, suddenly becomes distant, and she senses that something is wrong. Her colleague, health inspector Matthew Bennell, suggests that she see his friend, psychiatrist Dr. David Kibner. While driving to Kibner's book party, they are accosted by a hysterical man. The man runs off, and hit by a car, then surrounded by a crowd of emotionless onlookers. At the party, Matthew calls the police about the incident, and finds them strangely indifferent. An agitated party attendee starts declaring that her husband is not her real husband. Kibner works to reconcile them, and suggests that Elizabeth wants to believe that Geoffrey has changed because she is looking for an excuse to get out of their relationship.
Meanwhile, Matthew's friend Jack Bellicec, a struggling writer who owns a bathhouse with his wife Nancy discovers a deformed body on one of the beds and calls Matthew to investigate. Noticing that the body (which is adult-sized but is covered with plant-like tendrils, and lacks distinguishing characteristics) bears a slight resemblance to Jack, Matthew breaks into Elizabeth's home and finds a semi-formed double of her in the bedroom garden. He gets the sleeping Elizabeth to safety, but the duplicate body has disappeared by the time he returns with the police. The body at the bathhouse has also disappeared when Matthew returns there.
Matthew realizes that people are being replaced by extraterrestrial copies while they sleep. Matthew calls several state and federal agencies, but they all tell him not to worry. In addition, people who had earlier claimed that their loved ones had changed seem to have been converted as well, including (unbeknownst to him) Dr. Kibner. That night, Matthew and his friends are nearly duplicated by the pods while they sleep. The pod people try to raid Matthew's house, but he and his friends are able to escape. During this, they discover that the pod people emit a shrill scream once they learn someone is still human among them.
Jack and Nancy create a diversion within a crowd of pursuing pod people to give Matthew and Elizabeth time to escape. Matthew and Elizabeth are chased across San Francisco. They hide out in Health Department building, and witness pods being distributed to people gathered in the square outside. They are eventually found by the doubles of Jack and Dr. Kibner. Kibner's double tells them that what the alien species is doing is purely for survival and that they are even doing humanity a favor by ridding them of emotion. Matthew and Elizabeth are injected with a sedative to make them sleep. However, having already taken a large dose of speed, the couple overpower them and escape the building.
In the stairwell, they find Nancy, who has learned to evade the pod people by hiding all emotion. Outside, Matthew and Elizabeth are exposed as human when Elizabeth screams after seeing a mutant dog with a man's face. They flee aboard a departing truck that had delivered pods, and discover a giant warehouse at the docks where the pods are grown. After Matthew and Elizabeth profess their love for each other, Matthew goes out to investigate music they hear and hopefully find a way to escape, only to discover a cargo ship being loaded with pallets of pods.
Matthew returns to find that Elizabeth has fallen asleep. He tries to wake her, but her body crumbles to dust and her naked, soulless double arises, telling him to embrace his fate and sleep. Matthew returns to the warehouse and sets it on fire, destroying many pods. He hides from the pod people under a pier, but they know he will fall asleep eventually.
The next morning (or possibly later), Matthew watches dozens of children being led into a theater to be replaced, and pods being distributed from a truck in an alley; an intercom directs incoming residents of various west coast cities, from Portland to Vancouver, where to go. At work, Matthew sees Elizabeth, but she is oblivious to him. While walking towards City Hall, he is spotted by Nancy, who has remained human. She calls to him, but he responds by pointing to her and emitting the piercing pod scream. Realizing that Matthew is now a pod person, Nancy, now the only human left in the city, screams in helpless terror."
The Pajama Game,"Sid (John Raitt) has just been hired as superintendent of the Sleeptite Pajama Factory in Cedar Rapids, Iowa. He soon falls for Babe (Doris Day), a worker in the factory and member of the employee union's leadership. At the company picnic they become a couple, but Babe worries that their roles in management and labor will drive them apart. She is correct. The union is pushing for a raise of seven-and-one-half cents per hour to bring them in line with the industry standard, but the factory's manager is giving them a runaround. In retaliation, the workers pull a slow-down and deliberately foul up the pajamas, but when Babe actually sabotages some machinery, Sid fires her.
Meanwhile, Sid has been wondering what secrets the manager is hiding in his locked account book. To that end, he takes Gladys (Carol Haney), the boss' assistant, on a date to the local hot spot, ""Hernando's Hideaway"", despite her insanely jealous boyfriend ""Hine-sie"" (Eddie Foy, Jr.). He gets Gladys drunk, and in this state, she lends him the key to the locked book. Returning to the factory, Sid discovers that the manager reported the raise as having been instituted months ago. He has been pocketing the difference himself. Sid threatens to send the book to the board of directors if the raise is not paid immediately.
At the union meeting that evening, the manager agrees to the raise. When Babe realizes that it was Sid who engineered the raise and that he has only been attempting to avoid labor strife, she returns to him."
The Sea God,"Pink Barker (Arlen) loses his boat and his girl Daisy (Wray) to his bitter rival Schultz (Gleckler), but his fortunes change when an old, dying sailor he rescues at sea tells him about a fortune to be had in pearls. Unfortunately, the pearl beds lie off an island inhabited by cannibals. Barker sails in search of the island with his friend Square Deal (Pallette). Still in love with Pink, Daisy stows away but is soon discovered and forced by her unforgiving ex to work her passage. The cannibals attack Pink’s boat while he is underwater collecting the pearl oysters, forcing him to cut his air line and make for the shore. Unable to remove his cumbersome diving suit he later stumbles into the native village where Square Deal and Daisy are being held, and the islanders mistake him for a god. Schultz and his men, having followed Pink’s boat to the island, capture Pink, Square Deal and Daisy. Square Deal and Daisy are sent as prisoners to his boat, but just as Schultz is about to do away with Pink, his party are attacked by the natives. Pink escapes but Schultz and his men are all killed. Still trapped on the island, Pink puts on his god-like diving suit again and is able to subdue the natives long enough to swim out to the boat where he is reunited with his friends."
Having Wonderful Time,"Bored New York office girl Teddy goes to a vacation camp in the Catskill Mountains called Camp Kare Free, for rest and to get away from the noisy, busy, city life and avoid advances from Emil. She meets and at first does not like waiter Chick. She also meets friend Fay, her roommate Miriam, and Buzzy. Miriam has eyes for Buzzy, who seems to have eyes for everyone. Within her two-week stay, Teddy and Chick fall in love and spend every day together.
One night Teddy becomes angry with Chick and leaves him to go to a party where she meets up with Buzzy. A storm rolls in and Buzzy invites her to his cabin, which he rents by himself. Initially refusing and wanting to be with friends, Teddy sees Chick at the party and asks Buzzy to go to his cabin. At the cabin she tells Buzzy she isn't interested but loves to play backgammon. Chick rushes in to save Teddy but becomes embarrassed when he sees the innocent board game. He returns to the party and waits there to talk with Teddy when she returns home. Teddy accidentally falls asleep at Buzzy's cabin and stays overnight.
While trying to sneak out the next morning Teddy is spotted leaving by Miriam. Emil shows up to drive Teddy back to the city and the two sit down to eat, with Chick as their waiter. All three of them overhear Miriam yelling at Buzzy for having Teddy stay overnight. Chick goes on a punching spree and chases after Teddy out of the restaurant. The two reconcile and plan their married life."
The End of Innocence,"A young girl is spiritually torn apart by forces beyond her control. After suffering a nervous breakdown, she is placed in an asylum, where for the first time she is treated as a human being by a compassionate psychiatrist."
The Chamber,"In April 1967, the office of Marvin Kramer, a Jewish civil rights lawyer in Indianola, Mississippi, is bombed by the Ku Klux Klan, killing Kramer’s five-year-old twin boys and leading to the amputation of Kramer’s legs and his later suicide. Klansman Sam Cayhall (Hackman) is tried for murder in the bombing, and is eventually convicted and sentenced to die in the gas chamber at the Mississippi State Penitentiary. Twenty-nine years later, in 1996, Adam Hall (O’Donnell), a young attorney at the Chicago law firm of Kravitz and Bane, seeks assignment to the firm’s pro bono representation of Cayhall in the last weeks before his scheduled execution. Adam is Sam Cayhall’s grandson, his family having since moved away from the South and changed their name, haunted and shamed by Cayhall’s crime. Adam is motivated to take the case in a search for some understanding of the dark secrets of his family, which prompted the suicide of Adam’s father the year Sam was sentenced to death (and whose body Adam found as a child).
Adam is sent by the firm to Jackson, Mississippi to take over the case and there reconnects with his aunt Lee Bowen (Dunaway), an alcoholic socialite who has managed to avoid public association with her infamous father, and who warns Adam about the dangers of dredging up the past. On death row, Sam remains a brusque, bitter, unrepentant racist who brags about his participation in the Klan bombing campaign of which the Kramer bombing was a part, though he denies that any of the bombings were intended to kill. He taunts Adam for his youth, legal inexperience, anti-racism, and the suicide of his father, but he agrees to allow Adam to represent him, though he forbids Adam from seeking clemency from Mississippi Governor McAllister, who had prosecuted Sam in his last retrial and had campaigned on that prosecution in his election to Governor. Nevertheless, as he begins to argue the case, Adam is approached by the Governor through an aide, Nora Stark (Rochon), who suggests that the Governor might consider clemency if Sam provides information about unidentified co-conspirators to the bombing.
As Adam investigates, inconsistencies in the facts of the original case come to light, casting doubt on Sam’s intent to kill and suggesting that he lacked the ability to make the bomb himself, and both Stark and the original FBI agent who investigated the case indicate that the bombing may have been the result of a broader conspiracy involving the Mississippi State Sovereignty Commission and White Citizens' Councils, which were active at the time of the bombing in opposition to civil rights. Sam refuses to authorize Adam to seek access to the Sovereignty Commission’s files, sealed by order of the state legislature, fearing it would expose Sam’s former associates in the Klan, as well allowing the Governor to obtain useful information on political enemies, which he indicates is the Governor’s real reason for seeking Sam’s cooperation in unsealing the files.
Adam continues to work through the courts, filing and arguing motions for a stay of execution, including on the grounds that Sam was legally insane and unable to tell right from wrong, due to his indoctrination into the Ku Klux Klan. At the same time, Lee, faced with the unearthed ghosts of the family history and having lapsed back into full-blown alcoholism, reveals to Adam that in the early 1950s, as children, she and Adam’s father had witnessed their father murder the family’s African-American neighbor, Joe Lincoln, during a fight that had started because Adam’s father, Eddie, had wrongly accused Lincoln’s son of stealing a toy soldier. Eddie had blamed himself for the murder, as well as Lee, for failing to stop Sam, the guilt of which was a factor in Eddie’s later suicide and Lee’s alcoholism. Lee also reveals how their father had been indoctrinated into the Klan as a child, showing Adam an historic photograph of Sam as a young boy attending a Klan lynching (which Adam uses in his arguments before the courts).
Adam and Nora secretly gain access to the Sovereignty Commission’s sealed files, which prove a wider conspiracy to the bombing, and also indicate the participation of an accomplice. The former FBI agent resurfaces, and reveals to Adam that the FBI had identified the accomplice, Rollie Wedge, whom the FBI had never been able to prove responsible, but who has reunited with other Klan members to commemorate the bombing on the eve of the pending execution. Adam goes to the Klan reunion and is beaten by several Klan members, and threatened at gunpoint by Wedge.
Adam’s persistence, the revelation of how much Sam’s hatred had destroyed his family, and his impending execution begin to affect Sam, and he softens, reconciling with Lee and expressing remorse for his actions and the effect they have had on his family. Sam forcefully rejects the Klan when Wedge visits him in prison to encourage him to remain silent, and it is revealed that Wedge was the one who had built the bomb and set it deliberately to kill. Ultimately, Adam’s motions for a stay are denied by the courts, including the United States Supreme Court. Despite Sam’s finally authorizing the release of relevant Sovereignty Commission files, the Governor refuses to grant clemency, betraying him and Adam, while nonetheless using the files as political leverage (as Sam had predicted), though Wedge, identified in the files, is finally arrested. Ultimately, Sam is executed in the gas chamber, though Adam remains as a confidant and advocate for his grandfather up until his execution, and he and Lee embrace at the end, in the hope that maybe the ghosts of the past are gone."
Brüno,"Gay Austrian fashion reporter Brüno Gehard is fired from his own television show, Funkyzeit mit Brüno (Funkytime with Brüno) after disrupting a Milan Fashion week catwalk (whose audience included Paul McCartney), and his lover Diesel leaves him for another man. Accompanied by his assistant's assistant, Lutz, he travels to the United States to become ""the biggest Austrian superstar since Hitler"".
Brüno unsuccessfully attempts an acting career as an extra on NBC's Medium. He then interviews Paula Abdul, using ""Mexican chair-people"" in place of furniture (Abdul goes along with everything, explaining how she aspires to help people, until a naked man, adorned with sushi, is wheeled into the room). He then produces a celebrity interview pilot, showing him dancing erotically, criticizing Jamie Lynn Spears' fetus with reality TV star Brittny Gastineau, unsuccessfully attempting to ""interview"" actor Harrison Ford, and closing with a close-up of his penis being swung around by pelvic gyrations. A focus group reviewing the pilot hate it, calling it ""worse than cancer"". Brüno then decides to make a sex tape, thus he then interviews Ron Paul, claiming to have mistaken him for drag queen RuPaul. While waiting in a hotel room with Paul, Brüno flirts with him before undressing, causing Paul to leave angrily and call him ""queerer than the blazes"".
Brüno consults a spiritualist to contact the deceased Rob Pilatus of Milli Vanilli (a former lover) for advice, miming various sex acts on the invisible ""Pilatus"". He consults charity PR consultants Nicole and Suzanne DeFosset to select a world problem to maximize his fame, choosing the Israeli–Palestinian conflict. He flies to Jerusalem to interview former Mossad agent Yossi Alpher and Palestinian politician Ghassan Khatib and confuses hummus and Hamas. In an interview with Israeli and Palestinian professors he sings his own ""Dove of Peace"" while cajoling the two to caress each other's hands. He also meets with Ayman Abu Aita, a ""terrorist group leader, Al-Aqsa Martyrs' Brigades"" in a Palestinian refugee camp in Lebanon, where he hopes to be kidnapped.[5][6] Brüno insults Abu Aita's hair then says that ""King Osama"" looks like a dirty wizard or a homeless Santa Claus. Abu Aita's translator orders Brüno to leave. He stops off in Nairobi to pick up a few things, including a child, saying he is ""black gold"".
Brüno interviews parents of child models, asking if their toddlers would be ready to lose weight, undergo liposuction, operate ""antiquated heavy machinery"" or ""amateur science"", or dress in Nazi uniforms. On a talk show hosted by Richard Bey, he shows the African American audience a baby he named O.J., whom he acquired in Africa by ""swapping him"" for a U2 Product Red iPod. He shows photographs of the boy covered with bees, on a crucifix and in a Jacuzzi next to male adults in a 69 position. The audience is appalled and social services take the baby from Brüno, driving him to depression. He goes to a diner to gorge on high-carb junk food. Lutz carries him back to a hotel room. After a night of sex, they awake to find themselves trapped in a bondage mechanism, unable to find the key. They call a hotel engineer for help and are asked to leave. After accosting a group of anti-gay protesters from the Westboro Baptist Church while still in bondage gear and boarding a bus, Brüno and Lutz remove their equipment at Madison County Office of Alternative Sentencing and Release in Huntsville, Alabama.[7] After being arrested, Lutz says he loves Brüno, but Brüno tells him he does not love him, having been influenced by ""carb goggles"". Lutz leaves Brüno.
After realizing the biggest names in Hollywood are straight (citing Tom Cruise, Kevin Spacey, and John Travolta), Brüno consults two gay converters to help him become heterosexual. He attempts other ""masculine"" activities, such as learning karate, joining the National Guard, going hunting in Alabama, and attending a swingers party at which he is whipped by a dominatrix.
Eight months later, a now-heterosexual Brüno, under the alias ""Straight Dave"", hosts a cage-fight match in Arkansas, ""Straight Dave's Man Slammin' Maxout"". Lutz appears at the event and calls Brüno a ""faggot"". The two fight, only to rekindle their love, making out and stripping in front of the shocked spectators who throw objects into the cage. The clip gets international press and the now-famous Brüno attempts to marry Lutz and gets O.J. back in exchange for a MacBook Pro. Brüno records a charity song, ""Dove of Peace"", featuring Bono, Elton John (seated at a piano on a Mexican ""chair-person""), Chris Martin, Snoop Dogg, Sting, and Slash, at Abbey Road Studios."
Star Trek,"In the 23rd century, the Federation starship USS Kelvin is investigating a ""lightning storm"" in space. A Romulan ship, Narada, emerges from the storm and attacks Kelvin. Narada's first officer, Ayel, demands that Kelvin's Captain Robau come aboard to negotiate a truce. Robau is questioned about the current stardate and an ""Ambassador Spock"", whom he does not recognize. Narada's commander, Nero, kills him, and resumes attacking Kelvin. George Kirk, Kelvin's first officer, orders the ship's personnel, including his pregnant wife Winona, to abandon ship while he pilots Kelvin on a collision course with Narada. Kirk sacrifices his life to ensure Winona's survival as she gives birth to James T. Kirk.
Seventeen years later on the planet Vulcan, a young Spock is accepted to join the Vulcan Science Academy. Realizing that the Academy views his human mother Amanda as a ""disadvantage"", he joins Starfleet instead. On Earth, Kirk becomes a reckless but intelligent young adult. Following a bar fight with Starfleet cadets accompanying Nyota Uhura, Kirk meets Captain Christopher Pike, who encourages him to enlist in Starfleet Academy, where Kirk meets and befriends doctor Leonard McCoy.
Three years later, Commander Spock accuses Kirk of cheating during the Kobayashi Maru simulation. Kirk argues that cheating was acceptable because the simulation was designed to be unbeatable. The disciplinary hearing is interrupted by a distress signal from Vulcan. With the primary fleet out of range, the cadets are mobilized. McCoy and Kirk board Pike's ship, the Enterprise. Realizing that the ""lightning storm"" observed near Vulcan is similar to the one that occurred when he was born, Kirk breaks protocol to convince Pike that the distress signal is a trap.
Enterprise arrives to find the fleet destroyed and Narada drilling into Vulcan's core. Narada attacks Enterprise and Pike surrenders, delegating command of the ship to Spock and promoting Kirk to first officer. Kirk, Hikaru Sulu and Chief Engineer Olson perform a space jump[5][6] onto the drilling platform. Olson is killed but Kirk and Sulu disable the drill. Despite their efforts, Nero launches ""red matter"" into Vulcan's core, forming an artificial black hole that destroys Vulcan. Spock rescues the high council and his father Sarek, but his mother Amanda dies.
As Narada moves toward Earth, Nero tortures Pike to gain access to Earth's defense codes. Spock maroons Kirk on Delta Vega after Kirk attempts mutiny. Kirk encounters an older Spock, who explains that he and Nero are from 129 years in the future. In that future, Romulus was threatened by a supernova. Spock's attempt to use ""red matter"" to create an artificial black hole and consume the supernova failed, and Nero's family perished along with Romulus. Narada and Spock's vessel were caught in the black hole, sending them back in time. Nero stranded Spock on Delta Vega to watch Vulcan's destruction.
Reaching a Starfleet outpost on Delta Vega, Kirk and the elder Spock meet Montgomery Scott. With the elder Spock's help, Scott devises a way for Kirk to beam onto Enterprise while it is travelling at Warp speed. Following the elder Spock's advice, Kirk provokes younger Spock into attacking him, forcing Spock to recognize himself as emotionally compromised and relinquish command to Kirk. After talking with Sarek, Spock decides to help Kirk. While Enterprise hides itself within the gas clouds of Titan, Kirk and Spock beam aboard Narada. Kirk fights with Nero and Ayel, killing the latter and rescuing Pike, while Spock uses the elder Spock's ship to destroy the drill. Spock leads Narada away from Earth and sets his ship to collide with Nero's ship. Enterprise beams Kirk, Pike, and Spock aboard. The older Spock's ship and Narada collide, igniting the ""red matter"". Kirk offers Nero help to escape, but Nero refuses, prompting Kirk to give the order to fire, dooming Narada to be consumed in a black hole.
Kirk is promoted to Captain and given command of Enterprise while Pike is promoted to Rear Admiral. Spock encounters his older self, who persuades his younger self to continue serving in Starfleet, encouraging him to do, for once, what feels right instead of what is logical. Spock remains in Starfleet, becoming first officer under Kirk's command. Enterprise goes to warp as the elder Spock speaks the ""where no one has gone before"" monologue."
Courageous,"When his truck is stolen at a gas station, Nathan Hayes chases it and manages to reclaim the truck but the criminal gets away. Though he is injured, he crawls back to his truck, and sees that his little baby boy in the back is okay. When the police arrive, sheriff's deputies Adam Mitchell and Shane Fuller meet Hayes, discovering he is a new deputy, having recently moved to Albany, Georgia.
The personal lives of these officers are observed: Mitchell adores his nine-year-old daughter, Emily, but is distant from his fifteen-year-old son, Dylan, because he doesn't share his son's interest in 5k runs. Hayes never knew his biological father, instead treating a neighbor as his father (even giving him Father's Day cards annually), but would risk his life to save his three children; however, his teenage daughter Jade (Taylor Hutcherson), resents him because he has a strict policy about dating, and won't let her go out with her love interest Derrick. Fuller is divorced, as were his parents, and has joint custody of his son. David Thomson is young and single.
Javier Martinez (Robert Amaya) is an immigrant struggling to provide for his family after being laid off when a construction company went over budget. While job-hunting he walks down an alley asking God what He wants him to do. Mitchell, thinking he is a different Javier recommended to him by a friend, calls him over to help with backyard projects and construction. After paying him for the job, Mitchell recommends him to a new full-time job, where he is hired.
One day, Emily is killed by a drunk driver, devastating Mitchell and his family. Following his daughter's death, Mitchell reads about fatherhood in the Bible. He decides he must be a better father and crafts a detailed ""Resolution"" to honor God in every aspect of his family. Mitchell, Hayes, Fuller, Thomson, and Martinez join him in his resolution at a formal ceremony conducted by Hayes's neighborhood mentor, the man he thinks of as a father. As a result of the resolution, Mitchell and Fuller mend their relationships with their sons, Hayes with his daughter, and he also visits the grave of his biological father whom he had never met and forgives him. Thomson reveals that he fathered a child in college and deserted the mother after she refused to have an abortion. He writes the mother and seeks to mend their relationship and to see his child, after seeing that abandoning kids contributes to crime on the streets, and does not want that burden on her.
Martinez's manager offers him a promotion on the condition that he falsify inventory documents. After being given a day to think about it, Martinez refuses, maintaining that it would be wrong. Impressed, his boss promotes him and raises his pay, revealing that the condition had been a test of Javier's integrity, with Javier being the only individual to pass after many others had been tested.
Mitchell discovers that Fuller has been stealing drugs from police evidence to resell on the streets for money. Mitchell decides he must honor his Resolution and report the corruption. He sets up a sting leading to Fuller's arrest and imprisonment. Fuller explains his motives that he was doing it for his son, feeling that his yearly pay wasn't enough to provide for him. Mitchell visits Fuller in jail where Fuller admits to his mistakes and asks Mitchell to look after his son. During a minor traffic stop, Hayes and Thomson unknowingly confront the armed leader of a gang they have been repeatedly encountering. One of the gang members is Derrick, who stops the gang leader from shooting Hayes with a shotgun. After an intense firefight, Deputy Hayes asks Derrick what he's doing with the gang, and the later responds that he had no one else that cared about him.
At a Father's Day church service, the men present the Resolution and Mitchell urges the fathers in the congregation to be a godly influence on their families. Mitchell runs in a 5K race with both his and Fuller's sons, Hayes begins to teach and mentor Derrick in prison, and Thomson meets his daughter for the first time."
Grave of the Vampire,"Several years after his death by electrocution in the late 1930s, ghoulish rapist/murderer Caleb Croft (Michael Pataki) rises from his crypt and brutally assaults young Leslie Hollander (Kitty Vallacher). Leslie becomes pregnant by Croft and delivers a baby boy, whom she nurses with bottles of blood. The child matures into the ruggedly handsome James Eastman (William Smith), who sets out on a mission to find and kill his diabolical father. Eastman enrolls in a college night course that his father is teaching as Professor Lockwood. Following a séance hosted by the professor for his students, James confronts his father in a showdown between good and evil."
Three Tough Guys,"Roman Catholic priest Father Charlie and former police officer Lee solve a bank robbery mystery that stretches across the city. After Lee is removed from the force due to $1,000,000 being stolen from the bank, Father Charlie helps him to gain revenge for the loss of one of his friends."
Drum,"The story is based on real events and real people and is set in the mid-1950s freehold township of Sophiatown, Johannesburg— one of the few areas in South Africa where blacks could own property and drink alcoholic beverages. Drum begins with the central character, sportswriter Henry Nxumalo, reporting on a boxing match with Nelson Mandela. Nxumalo leaves his wife Florence at home while going out into his community's night life and has an affair with a female singer. He works for Drum magazine, which was ""the first black lifestyle magazine in Africa.""[1] The magazine was financed by whites and had a multiracial staff; it was popular among the black community. Drum's British editor, Jim Bailey (Jason Flemyng), asks Nxumalo to write on the township crime scene, and Nxumalo, while at first unwilling, finally agrees. While on the job, he encounters Slim (Zola), a gang leader, that he had previously met in illegal township drinking places, and witnesses him kill a man in Sophiatown.
Initially Nxumalo stays away from political articles, but eventually writes about more than entertainment after his wife and Mandela encourage him. When a young man goes missing at a Boer farm and is feared enslaved, Nxumalo decides to investigate undercover. He gets employment as a labourer at the farm, where he is treated like a slave and nearly killed. He becomes a celebrity when his story is published, further reinforced by getting himself in prison and reporting about its conditions. Nxumalo decides that his destiny is to be a muckracker and, with the help of the German photographer Jürgen Schadeberg (Gabriel Mann), ventures on more risky investigations.
Nxumalo frequently fights the racism and apartheid that is beginning to creep into his hometown. He tries to tackle stories important to his society's well-being. However, he is no match to the plan to evict residents and ultimately destroy Sophiatown. Constantly harassed by the government, at the end of the film he is stabbed to death. The attacker has never been identified."
The Bitter Tea of General Yen,"In the late 1920s in Shanghai during the Chinese Civil War, as throngs of refugees flee the rainswept city, a couple of elderly missionaries welcomes guests to their home for the wedding of Dr. Robert Strike, a fellow missionary, and Megan Davis, his childhood sweetheart whom he has not seen in three years. Some of the missionaries have a cynical view of the Chinese people they have come to save. Shortly after Megan arrives, her fiancé Bob rushes in and postpones the wedding so he can rescue a group of orphans who are in danger from the spreading civil war. Megan insists on accompanying him on his mission.
On the way they stop at the headquarters of General Yen, a powerful Chinese warlord who controls the Shanghai region. While Megan waits in the car, Bob pleads with the general for a safe passage pass so he can save the orphans. Contemptuous of Bob's missionary zeal, General Yen gives him a worthless paper that describes Bob's foolishness. Bob and Megan reach St. Andrews orphanage safely, but the pass only makes the soldiers laugh and steal their car when they try to leave with the children. The missionaries and children eventually reach the train station, but in the chaos, Bob and Megan are both knocked unconscious and are separated.
Sometime later, Megan regains consciousness in the private troop train of General Yen, attended by his concubine, Mah-Li. When they arrive at the general's summer palace, they are greeted by a man, Jones, Yen's American financial advisor, who tells him that he has succeeded in raising six million dollars, hidden in a nearby boxcar, for General Yen's war chest. Megan is shocked by the brutality of the executions conducted outside her window. Fascinated and attracted by the young beautiful missionary, the general has his men move the executions out of earshot and assures her that he will send her back to Shanghai as soon as it is safe.
One evening, Megan drifts off to sleep and has an unsettling erotic dream about the general who comes to her rescue and kisses her passionately. Soon after, she accepts the general's invitation to dinner. While they are dining, the general learns that his concubine Mah-Li has betrayed him with Captain Li, one of his soldiers. Later, after General Yen arrests Mah-Li for being a spy, Megan tries to intervene, appealing to his better nature. The general challenges her to prove her Christian ideals by forfeiting her own life if Mah-Li proves unfaithful again. Megan naively accepts and ends up unwittingly helping Mah-Li betray the general by passing information to his enemies about the location of his hidden fortune.
With the information provided by Mah-Li, the general's enemies steal his fortune, leaving him financially ruined and deserted by his soldiers and servants. General Yen is unable to take Megan's life—it is too precious to him. When she leaves his room in tears, he prepares a cup of poisoned tea for himself. Megan returns, dressed in the fine Chinese garments he gave her. She waits on him in the gentle manner of a concubine. When she says she could never leave him, he only smiles, then drinks the poisoned tea.
Sometime later, Megan and Jones are on a boat headed back to Shanghai. While discussing the beauty and tragedy of the general's life, Jones comforts Megan by saying that one day she will be with him again in another life."
Tot Watchers,"Babysitter Jeannie (voiced by Janet Waldo) is instructed to look after the baby while his mother goes out. However, Jeannie pays more attention to the telephone than her actual babysitting. In the midst of Tom and Jerry's usual fighting, they see the baby crawling out of its pram. Any attempt to return the baby to where it came from simply results in the baby escaping from the pram again. During one escape, the baby crawls into Spike's dog house. Tom accidentally grabs Spike instead of the baby, and is promptly attacked, scratched and bit. This time, Tom angrily brings the baby back to Jeannie herself, who hits Tom over the head with a broom, thinking that Tom has taken the baby away from her.
Realising that the baby is no longer worth the trouble, Tom does nothing the next time that it crawls from its pram. However, he and Jerry are forced to react after the baby crawls down to the street and into a construction site. The baby crawls from one steel beam to another while the cat and mouse look on. Jerry manages to catch up, and saves the baby from crawling off a wooden plank by grabbing his diaper. The diaper comes loose, and the baby falls, but he is then caught by Tom. Tom attempts to put the baby's diaper back on, but in the impending confusion, ends up putting the diaper on himself while the baby crawls off, nonchalantly.
Tom and Jerry catch up with the baby, only to lose it again, and fearing that it has crawled into a cement mixer, the cat and mouse dive straight in, only to find that the baby never did enter the mixer but instead playing with a hammer. The baby then playfully bonks Tom on the head.
Later on, Jeannie is in panic and crying, telling a police officer that she was babysitting, took her eye off the baby for ""one teensy minute"" and the baby was gone. Tired Tom and Jerry arrive with the baby. Jeannie grabs the baby while the two try to escape, but the police officer (voiced by Bill Thompson) arrests Tom and Jerry, assuming they were ""baby nappers"". In the police car, the police officer cannot believe Tom and Jerry's explanation. Just then, to their surprise, the baby crawls past the police car and away into the distance."
Hollywood Party,"Jungle movie star ""Schnarzan"" (Durante), a character in parody of Tarzan, is advised by his manager he needs new lions for his pictures, as his old ones are ""worn out"". At a wild Hollywood party with many varied guests, including a ""lion provider"", hilarity ensues. After it all gets out of hand, Schnarzan awakens to find he is just plain old Durante, who had a strange dream.[3]"
The Sound and the Fury,"Quentin Compson is a girl of 17 in the small Mississippi town of Jefferson. She lives with her step-uncle, Jason, who has practically raised Quentin ever since her promiscuous mother, Caddy, abandoned her.
Jason makes ends meet working in the store of Earl Snopes, a man he detests. He is the provider for several people in the house, including Howard, who is Quentin's uncle, and his step-brother, and a mute, mentally handicapped man named Benjy, his other step-brother.
Quentin is bored, restless, and not interested in Jason's wishes that she continue her education. When a carnival comes to town, she becomes infatuated with Charlie Busch, a carny worker who tries to seduce her.
Caddy returns to town. She has a tentative reunion with Quentin, but takes Jason's side because she has no money and needs him to shelter her now. Caddy flirts with Snopes, who implies that they had intimate relations and is beaten by Jason for saying as much. Benjy also becomes incensed when he catches Quentin sneaking out to meet Busch and tries to strangle her, whereupon Jason decides that Benjy must be committed to an institution.
A frustrated Quentin wants to leave with Busch and claims she can get her hands on $3,000. She steals it from a suitcase of money Jason had been saving for her future. To prove the stranger's true intentions, Jason goes to Busch and gives him a choice: the girl or the money. Quentin is crushed when she realizes what Busch is really after. She returns to Jason and promises to be more mature in their future together."
