company,bean_origin,cocoa_percent,company_location,rating,bean_type,broad_bean_origin
Original Beans (Felchlin),Piura- Apotequil- Porcelana 72hr c.,0.75,Switzerland,3,Criollo,Peru
Original Beans (Felchlin),Alto Beni- Wild Harvest- Itenez R.- 60hr c.,0.68,Switzerland,3,Unknown,Bolivia
Original Hawaiin Chocolate Factory,Hawai'i- Kona Grand Cru E.,0.6,U.S.A.,3.5,Criollo,Hawaii
Patric,Madagascar,0.75,U.S.A.,3.5,Trinitario,Madagascar
Patric,Madagascar,0.67,U.S.A.,2.5,Trinitario,Madagascar
Patric,Rio Caribe- Paria Penninsula,0.7,U.S.A.,2.75,Trinitario,Venezuela
Pierre Marcolini,Bahia Brazil- Fazenda Sao Pedro,0.72,Belgium,3,Forastero,Brazil
Pierre Marcolini,Porcelana- Tabasco- Finca La Joya,0.72,Belgium,3,Criollo,Mexico
Pralus,Cuyagua,0.75,France,3.25,Unknown,Venezuela
Republica del Cacao (aka Confecta),Los Rios- Vinces,0.75,Ecuador,2,Forastero (Arriba),Ecuador
Rogue,Rio Caribe,0.7,U.S.A.,2.5,Trinitario,Venezuela
Santander (Compania Nacional),Colombian 2008,0.75,Colombia,2.75,Forastero (Nacional),Colombia
Santander (Compania Nacional),Colombian w/ nibs,0.7,Colombia,3,Forastero (Nacional),Colombia
Scharffen Berger,Tome Acu,0.68,U.S.A.,3.25,Unknown,Brazil
Scharffen Berger,Asante,0.65,U.S.A.,3.5,Forastero,Ghana
Scharffen Berger,Ben Tre,0.72,U.S.A.,3.5,Trinitario,Vietnam
Soma,Hispaniola,0.7,Canada,3.75,Forastero,Dominican Republic
Soma,Africa,0.7,Canada,2.75,Forastero,Ghana
Soma,Conacado,0.7,Canada,3,Trinitario,Dominican Republic
Soma,Papua New Guinea,0.7,Canada,3.25,Trinitario,Papua New Guinea
Soma,Madagascar,0.7,Canada,3.5,Criollo,Madagascar
Soma,Ocumare,0.7,Canada,3.5,Criollo,Venezuela
Taza,Chiapan,0.75,U.S.A.,3,Unknown,Mexico
TCHO,TCHOPro 60.5,0.6,U.S.A.,3.25,Unknown,Unknown
TCHO,TCHOPro 68,0.68,U.S.A.,3.25,Unknown,Unknown
Valrhona,Tainori,0.64,France,3.5,Unknown,Dominican Republic
Valrhona,Alpaco,0.66,France,3.5,Unknown,Ecuador
Valrhona,Nyangbo,0.68,France,2.5,Forastero,Ghana
Vao Vao (Chocolaterie Robert),Madagascar,0.72,Madagascar,2.75,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,0.76,Madagascar,2.75,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,0.8,Madagascar,3,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,0.7,Madagascar,3,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar w/ nibs,0.68,Madagascar,3.25,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,0.64,Madagascar,3.25,Trinitario,Madagascar
Willie's Cacao,San Martin,0.7,U.K.,3.5,Unknown,Peru
Willie's Cacao,Rio Caribe,0.72,U.K.,3.5,Trinitario,Venezuela
Akesson's (Pralus),Madagascar- Ambolikapiky P.,0.75,Switzerland,3.5,Criollo,Madagascar
Akesson's (Pralus),Monte Alegre- D. Badero,0.75,Switzerland,3.5,Forastero,Brazil
Amano,Dos Rios,0.7,U.S.A.,3.5,Unknown,Dominican Republic
Amano,Guayas,0.7,U.S.A.,3.75,Unknown,Ecuador
Amano,Chuao,0.7,U.S.A.,4,Trinitario,Venezuela
AMMA,Monte Alegre- 3 diff. plantations,0.85,Brazil,2.5,Forastero (Parazinho),Brazil
AMMA,Monte Alegre- 3 diff. plantations,0.5,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,Monte Alegre- 3 diff. plantations,0.75,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,Monte Alegre- 3 diff. plantations,0.6,Brazil,3,Forastero (Parazinho),Brazil
Artisan du Chocolat,Venezuela,1,U.K.,2.75,Unknown,Venezuela
Artisan du Chocolat,Jamaica,0.72,U.K.,2.75,Trinitario,Jamaica
Artisan du Chocolat,Costa Rica,0.72,U.K.,3.25,Unknown,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,0.72,U.K.,2.75,Trinitario,Vietnam
Artisan du Chocolat,Bali,0.72,U.K.,3,Unknown,Indonesia
Belcolade,Costa Rica,0.64,Belgium,3.5,Unknown,Costa Rica
Belcolade,Papua New Guinea,0.64,Belgium,3.5,Unknown,Papua New Guinea
Belcolade,Peru,0.64,Belgium,3.25,Unknown,Peru
Belcolade,Ecuador,0.71,Belgium,3,Unknown,Ecuador
Beschle (Felchlin),Carenero S.- Barlovento- Grand Cru,0.7,Switzerland,3.25,Trinitario,Venezuela
Beschle (Felchlin),Porcelana- Premier Cru- Quizas No. 1,0.74,Switzerland,2.75,Criollo (Porcelana),Venezuela
Beschle (Felchlin),Java- Grand Cru,0.64,Switzerland,3.5,Unknown,Indonesia
Beschle (Felchlin),Ocumare- Premier Cru- Quizas No. 2,0.72,Switzerland,2.5,Unknown,Venezuela
Bittersweet Origins,Bali- Singaraja,0.75,U.S.A.,2.5,Unknown,Indonesia
Bittersweet Origins,2009 Hapa Nibby,0.7,U.S.A.,2.75,Blend,Dominican Rep.- Bali
Bittersweet Origins,Bali- Singaraja,0.65,U.S.A.,3.75,Unknown,Indonesia
Bittersweet Origins,Sambirano- 2009,0.7,U.S.A.,3.75,Trinitario,Madagascar
Bittersweet Origins,Ocumare- prototype,0.78,U.S.A.,2.5,Criollo,Venezuela
Cacao Atlanta,Dominican Republic- Love Bar,0.75,U.S.A.,2.5,Unknown,Dominican Republic
Cacao Atlanta,Dominican Republic w/ nibs,0.75,U.S.A.,2.5,Unknown,Dominican Republic
Cacao Atlanta,Patanemo,0.75,U.S.A.,2.75,Unknown,Venezuela
Cacao Barry,Santo Domingo,0.7,France,2.75,Unknown,Dominican Republic
Cacao Sampaka,Madagascar,0.71,Spain,3,Trinitario,Madagascar
Cacao Sampaka,Ecuador,0.71,Spain,3,Unknown,Ecuador
Cacao Sampaka,Papua,0.71,Spain,3,Unknown,Papua New Guinea
Cacao Sampaka,Grenada,0.71,Spain,3.25,Trinitario,Grenada
Cacao Sampaka,Venezuela,0.71,Spain,2.75,Unknown,Venezuela
Cacao Sampaka,Venezuela,0.77,Spain,3.25,Unknown,Venezuela
Chchukululu (Tulicorp),Arriba,0.55,Ecuador,3.5,Forastero (Arriba),Ecuador
Chocovic,Xoconusco,0.71,Spain,3.75,Criollo,Mexico
Chocovic,Sambirano,0.71,Spain,2.5,Trinitario,Madagascar
Chuao Chocolatier (Pralus),Chuao,0.77,U.S.A.,3,Trinitario,Venezuela
Claudio Corallo,Terreiro Velho P.,0.73,Sao Tome,3.25,Forastero,Sao Tome & Principe
Compania de Chocolate (Salgado),Sur del Lago,0.7,Argentina,2.5,Unknown,Venezuela
Coppeneur,Grenada,0.72,Germany,2.5,Trinitario,Grenada
Coppeneur,Chuao,0.7,Germany,3,Trinitario,Venezuela
Coppeneur,Los Rios- H. Iara,0.72,Germany,3.25,Nacional,Ecuador
Coppeneur,Trinidad,0.72,Germany,3.25,Trinitario,Trinidad
Coppeneur,Jamaica,0.72,Germany,3.25,Trinitario,Jamaica
Coppeneur,Ocumare 61,0.72,Germany,3.5,Criollo (Ocumare 61),Venezuela
Domori,Chuao- Hacienda San Jose,0.7,Italy,3.5,Trinitario,Venezuela
Duffy's,Panama,0.7,U.K.,2.5,Unknown,Panama
Duffy's,Corazon del Ecuador- Calceta beans,0.72,U.K.,2.5,Unknown,Ecuador
Duffy's,Star of Ecuador,0.7,U.K.,2.5,Unknown,Ecuador
Duffy's,Star of Peru,0.7,U.K.,2.75,Unknown,Peru
Enric Rovira (Claudio Corallo),Terreiro Velho P.,0.8,Spain,3,Forastero,Sao Tome & Principe
Fearless (AMMA),Monte Alegre- D. Badaro- Raw- Organic,0.75,U.S.A.,3,Unknown,Brazil
Felchlin,Grenada,0.58,Switzerland,3,Trinitario,Grenada
Grenada Chocolate Co.,Grenada,0.82,Grenada,2.75,Trinitario,Grenada
Guittard,Trinidad,0.65,U.S.A.,3.25,Trinitario,Trinidad
Hotel Chocolat (Coppeneur),Ecuador,0.7,U.K.,3.75,Unknown,Ecuador
Hotel Chocolat (Coppeneur),Santo Domingo,0.7,U.K.,3,Unknown,Dominican Republic
Hotel Chocolat (Coppeneur),Chuao,0.7,U.K.,2.75,Trinitario,Venezuela
L.A. Burdick (Felchlin),Grenada,0.75,U.S.A.,1,Trinitario,Grenada
L.A. Burdick (Felchlin),Dominican Republic,0.74,U.S.A.,3,Unknown,Dominican Republic
L.A. Burdick (Felchlin),Venzuela,0.71,U.S.A.,3.75,Unknown,Venezuela
Luker,Selva,0.46,Colombia,4,Unknown,Colombia- Ecuador
Luker,Macondo,0.6,Colombia,3.5,Unknown,Colombia- Ecuador
Luker,Misterio,0.58,Colombia,3,Unknown,Colombia- Ecuador
Luker,Santander,0.65,Colombia,2.75,Unknown,Colombia
Machu Picchu Trading Co.,Peru,0.55,Peru,2.75,Unknown,Peru
Madre,Chiapas- Triple Cacao,0.72,U.S.A.,3.25,Unknown,Mexico
Majani,Ecuador,0.7,Italy,3.25,Unknown,Ecuador
Malie Kai (Guittard),O'ahu- N. Shore- Waialua Estate w/ nibs,0.55,U.S.A.,3.75,Unknown,Hawaii
Mars,Matina 1-6- prototype,0.65,U.S.A.,3.5,Unknown,Costa Rica
Mars,Ivory Coast,0.65,U.S.A.,2.75,Unknown,Ivory Coast
Mars,Nigeria,0.65,U.S.A.,1.5,Unknown,Nigeria
Mars,Ghana- prototype,0.65,U.S.A.,2.5,Forastero,Ghana
Mast Brothers,Patanemo,0.81,U.S.A.,3,Criollo,Venezuela
Mast Brothers,Ocumare de la Costa,0.75,U.S.A.,3,Unknown,Venezuela
Mast Brothers,Dominican Republic- Coop,0.7,U.S.A.,3,Unknown,Dominican Republic
Mindo,Ecuador,0.67,U.S.A.,3,Unknown,Ecuador
Mindo,Ecuador,0.77,U.S.A.,3,Unknown,Ecuador
Moho,Umoho R.- Toledo District- San Felipe,0.67,U.S.A.,3,Trinitario,Belize
Neuhaus (Callebaut),Papua New Guinea,0.7,Belgium,3.25,Criollo,Papua New Guinea
Oakland Chocolate Co.,Jamaica,0.7,U.S.A.,3.25,Trinitario,Jamaica
Olive and Sinclair,Dominican Republic prototype,0.72,U.S.A.,3.25,Unknown,Dominican Republic
Olive and Sinclair,Ghana prototype,0.72,U.S.A.,3.25,Forastero,Ghana
Pierre Marcolini,Chuao,0.75,Belgium,3.25,Criollo,Venezuela
Pierre Marcolini,Trinite,0.75,Belgium,3.5,Trinitario,Trinidad
Pierre Marcolini,Baracoa- Cuba,0.78,Belgium,3.5,Criollo- Forastero,Cuba
Pierre Marcolini,Peru- Las Pampas P.,0.85,Belgium,3.5,Criollo,Peru
Potomac,Upala- Batch 12,0.82,U.S.A.,3.75,Matina,Costa Rica
Pralus,Chuao,0.75,France,3.75,Trinitario,Venezuela
Rain Republic,Suchitepequez E.,0.7,Guatemala,1,Unknown,Guatemala
Rancho San Jacinto,Ecuador,0.75,Eucador,2.5,Forastero(Arriba- CCN),Ecuador
Republica del Cacao (aka Confecta),Esmeraldas,0.75,Ecuador,2.75,Unknown,Ecuador
Rogue,Piura,0.75,U.S.A.,3.25,Unknown,Peru
S.A.I.D.,Malgascio,0.64,Italy,3.25,Trinitario,Madagascar
S.A.I.D.,100 percent,1,Italy,3.25,Unknown,Unknown
S.A.I.D.,Samana,0.7,Italy,3.25,Unknown,Dominican Republic
S.A.I.D.,Arawak,0.72,Italy,3.5,Unknown,Carribean
S.A.I.D.,Latino,0.72,Italy,3.25,Unknown,Unknown
Scharffen Berger,Camahogne,0.68,U.S.A.,3.75,Trinitario,Grenada
Scharffen Berger,Amina,0.65,U.S.A.,2.75,Trinitario- Criollo,Madagascar
Snake & Butterfly,Madagascar,0.68,U.S.A.,3.25,Trinitario,Madagascar
Snake & Butterfly,Ecuador,0.68,U.S.A.,2.75,Unknown,Ecuador
Soma,Black Science Blend 1,0.7,Canada,2.25,Trinitario- Nacional,DR- Ecuador- Peru
Willie's Cacao,Sambirano,0.71,U.K.,2.75,Trinitario,Madagascar
Willie's Cacao,Hacienda Las Trincheras,0.72,U.K.,3,Unknown,Venezuela
Willie's Cacao,Java,0.69,U.K.,3.5,Unknown,Indonesia
Zotter,Brazil- Mitzi Blue,0.65,Austria,2.75,Unknown,Brazil
Adi,Vanua Levu,0.6,Fiji,2.75,Trinitario,Fiji
Adi,Vanua Levu- Toto-A,0.8,Fiji,3,Trinitario,Fiji
Adi,Vanua Levu,0.88,Fiji,3,Trinitario,Fiji
Adi,Vanua Levu- Ami-Ami-CA,0.72,Fiji,3.25,Trinitario,Fiji
Akesson's (Pralus),Bali (west)- Sukrama Family- Melaya area,0.75,Switzerland,3.25,Trinitario,Indonesia
Amano,Morobe,0.7,U.S.A.,3.25,Unknown,Papua New Guinea
Artisan du Chocolat,Haiti,0.72,U.K.,3.25,Unknown,Haiti
Artisan du Chocolat,Panama,0.72,U.K.,3.25,Unknown,Panama
Askinosie,Tenende- Uwate,0.72,U.S.A.,3.5,Trinitario,Tanzania
Askinosie,Cortes,0.7,U.S.A.,3.5,Trinitario,Honduras
Benoit Nihant,Bali- Sukrama Bros. Farm- Melaya- 62hr C,0.72,Belgium,3.5,Trinitario,Indonesia
Benoit Nihant,Somia Plantation- Sambirano- 70hr C,0.72,Belgium,3.5,Trinitario,Madagascar
Beschle (Felchlin),Madagascar,0.64,Switzerland,3.75,Trinitario,Madagascar
Beschle (Felchlin),Maracaibo,0.88,Switzerland,3.75,Criollo,Venezuela
Beschle (Felchlin),Indigena Amazonia- Grand Cru- Quizas,0.72,Switzerland,3.75,Unknown,Venezuela
Beschle (Felchlin),Ecuador,0.72,Switzerland,3,Unknown,Ecuador
Bonnat,Cuba,0.75,France,3,Trinitario,Cuba
Bonnat,Cusco- Cacao Cusco,0.75,France,3.25,Unknown,Peru
Bonnat,Piura Blanco,0.75,France,3.25,Forastero (Nacional),Peru
Bonnat,Libanio,0.75,France,3.25,Unknown,Brazil
Bonnat,Haiti,0.75,France,3.5,Unknown,Haiti
Bonnat,Madagascar- 100% criollo,0.75,France,3.75,Criollo,Madagascar
Bonnat,Juliana,0.75,France,3.75,Unknown,Brazil
Bonnat,Jamaique,0.75,France,4,Trinitario,Jamaica
Cacao Prieto,Dominican Republicm- rustic,0.72,U.S.A.,2.75,Unknown,Dominican Republic
Cacao Prieto,Dominican Republic,0.66,U.S.A.,3,Unknown,Dominican Republic
Cacao Prieto,Dominican Republic- rustic,0.65,U.S.A.,3.25,Unknown,Dominican Republic
C-Amaro,Sao Tome,0.78,Italy,3,Forastero,Sao Tome
C-Amaro,Trinidad,0.7,Italy,3,Trinitario,Trinidad
Chloe Chocolat,Blend No. 1,0.7,France,3.25,Unknown,Unknown
Chocola'te,Madagascar,0.7,U.S.A.,3.25,Trinitario,Madagascar
Chocola'te,Venezuela,0.68,U.S.A.,3.25,Unknown,Venezuela
Chocosol,Chiapas- Lacandon Jungle- Oaxacom Mtn,0.65,Canada,2.5,Unknown,Mexico
Christopher Morel (Felchlin),Maranon Canyon- Fortunato No. 4,0.68,Canada,2.75,Forastero (Nacional),Peru
Daintree,Daintree Estates- N. Queensland,0.7,Australia,2.75,Unknown,Australia
Dandelion,Dominican Republic,0.7,U.S.A.,3.25,Unknown,Dominican Republic
Dandelion,Madagascar,0.7,U.S.A.,3.5,Trinitario,Madagascar
Dandelion,Tanzania,0.7,U.S.A.,3.5,Unknown,Tanzania
Danta,Los Ujuxtes,0.6,Guatemala,2.5,Unknown,Guatemala
Dick Taylor,Sambirano,0.8,U.S.A.,3,Trinitario,Madagascar
Dick Taylor,Sambirano,0.72,U.S.A.,2.5,Trinitario,Madagascar
Dick Taylor,Mantuano,0.75,U.S.A.,3,Criollo,Venezuela
Dick Taylor,La Red,0.74,U.S.A.,3,Unknown,Dominican Republic
Dick Taylor,Ecuador,0.7,U.S.A.,3,Unknown,Ecuador
Domori,Canoabo- Hacienda San Jose,0.7,Italy,3,Criollo,Venezuela
Duffy's,Indio Rojo- Xoco,0.72,U.K.,3,Criollo,Honduras
Duffy's,Dominican Republic,0.65,U.K.,3,Unknown,Dominican Republic
Duffy's,Bocas del Toro- Tierra Oscura,0.72,U.K.,3.75,Unknown,Panama
Duffy's,Nicaliso- Xoco,0.71,U.K.,2.5,Criollo,Nicaragua
Duffy's,Ocumare,0.71,U.K.,2.75,Unknown,Venezuela
El Ceibo,Alto Beni- Covendo Region,0.75,Bolivia,3.5,Unknown,Bolivia
Ethel's Artisan (Mars),Peru- Madagascar,0.55,U.S.A.,3.5,Unknown,Peru- Madagascar
Ethel's Artisan (Mars),Trinidad,0.55,U.S.A.,2.75,Trinitario,Trinidad
Ethel's Artisan (Mars),Porcelana,0.7,U.S.A.,2.75,Criollo (Porcelana),Venezuela
Ethel's Artisan (Mars),Red Vanilla,0.62,U.S.A.,2.75,Unknown,Unknown
Ethel's Artisan (Mars),Venezuela- Trinidad,0.62,U.S.A.,2.75,Unknown,Venezuela- Trinidad
French Broad,Maranon Canyon- Fortunato No. 4,0.7,U.S.A.,3,Forastero (Nacional),Peru
French Broad,La Red,0.65,U.S.A.,3,Unknown,Dominican Republic
Fresco,Ghana- #211- MR- MC,0.74,U.S.A.,3.25,Forastero,Ghana
Fresco,Jamaica- #209- DR- SC,0.7,U.S.A.,3.25,Trinitario,Jamaica
Fresco,Conacado- #212- LR- SC,0.72,U.S.A.,3.5,Unknown,Dominican Republic
Fresco,Jamaica- #210- DR- MC,0.7,U.S.A.,3.5,Trinitario,Jamaica
Fresco,Sambirano Valley- #214- LR- MC,0.74,U.S.A.,3.5,Trinitario,Madagascar
Fresco,Conacado- #213- DR- -C,0.72,U.S.A.,3.75,Unknown,Dominican Republic
Fresco,Sambirano Valley- #215- MR- MC,0.74,U.S.A.,3.75,Trinitario,Madagascar
Fresco,Chuao- #218- MR- MC,0.76,U.S.A.,3,Trinitario,Venezuela
Fresco,Chuao- #217- DR- MC,0.7,U.S.A.,3.25,Trinitario,Venezuela
Friis Holm (Bonnat),Johe- Xoco,0.7,Denmark,3.25,Criollo- Trinitario,Nicaragua
Friis Holm (Bonnat),Chuno- Xoco,0.7,Denmark,3.5,Criollo- Trinitario,Nicaragua
Friis Holm (Bonnat),Nicaliso- Xoco,0.7,Denmark,3.75,Criollo- Trinitario,Nicaragua
Fruition,Signature Blend,0.66,U.S.A.,1.5,Trinitario,Costa Rica
Fruition,Costa Rica,0.7,U.S.A.,3,Unknown,Costa Rica
Grand Place,Ben Tre- Dong Nai,0.72,Vietnam,3,Trinitario,Vietnam
Guittard,Coucher du Soleil,0.72,U.S.A.,3,Unknown,Unknown
Guittard,Lever du Soleil,0.61,U.S.A.,3,Unknown,Unknown
Guittard,Onyx,0.72,U.S.A.,3,Unknown,Unknown
Haigh,South America and Africa,0.7,Australia,3,Unknown,South America- Africa
Hotel Chocolat (Coppeneur),Los Rios- H. Iara- 96hr c.,0.8,U.K.,3.25,Forastero (Nacional),Ecuador
Hotel Chocolat (Coppeneur),Island Growers- 120hr c.,0.65,U.K.,3.25,Trinitario,St. Lucia
Hotel Chocolat (Coppeneur),Island Growers- 96hr c.,0.65,U.K.,3.25,Trinitario,St. Lucia
Idilio (Felchlin),Coopertiva Amazona,0.72,Switzerland,3.5,Criollo,Venezuela
Idilio (Felchlin),Sur del Lago- Amiari Meridena- Zulia- 48hr c.,0.72,Switzerland,3.5,Unknown,Venezuela
Idilio (Felchlin),Choroni- Finca Torres- 48hr c.,0.72,Switzerland,3.5,Criollo,Venezuela
Idilio (Felchlin),Ocumare- H. Cata- 48hr c.,0.72,Switzerland,3.5,Criollo,Venezuela
Idilio (Felchlin),Porcelana- Zulia,0.74,Switzerland,3.5,Criollo,Venezuela
Idilio (Felchlin),Ocumare- H. Cata- w/ nibs,0.72,Switzerland,3.5,Criollo,Venezuela
Idilio (Felchlin),Carenero Superior- Urrutia- Barlovento,0.7,Switzerland,3.75,Trinitario,Venezuela
Idilio (Felchlin),Coopertiva Amazona w/ nibs,0.72,Switzerland,3.75,Criollo,Venezuela
Idilio (Felchlin),Sur del Lago- Amiari Meridena- Zulia- w/ nibs,0.72,Switzerland,3.75,Unknown,Venezuela
L.A. Burdick (Felchlin),Quito,0.74,U.S.A.,3.75,Unknown,Ecuador
La Maison du Chocolat (Valrhona),Grenada,0.68,France,3.75,Trinitario,Grenada
La Oroquidea,Peruvian Amazon,0.72,Peru,4,Unknown,Peru
La Pepa de Oro,Vinces,0.6,Ecuador,4,Unknown,Ecuador
Machu Picchu Trading Co.,Peru,0.7,Peru,4,Unknown,Peru
Madre,Dominican,0.7,U.S.A.,2.5,Unknown,Dominican Republic
Madre,Upala,0.7,U.S.A.,2.75,Unknown,Costa Rica
Mast Brothers,Brooklyn Blend,0.72,U.S.A.,2.75,Unknown,Unknown
Mast Brothers,Chuao- Med. Roast,0.76,U.S.A.,2.75,Trinitario,Venezuela
Mast Brothers,Chuao- Dark Roast,0.7,U.S.A.,2.5,Trinitario,Venezuela
Mast Brothers,Chuao- Light Roast,0.81,U.S.A.,3,Trinitario,Venezuela
Mast Brothers,Moho River,0.7,U.S.A.,3.25,Trinitario,Belize
Mast Brothers,Papua New Guinea,0.71,U.S.A.,3.5,Unknown,Papua New Guinea
Mast Brothers,San Martin,0.75,U.S.A.,3.5,Unknown,Peru
Mast Brothers,Conacado,0.73,U.S.A.,3.5,Unknown,Dominican Republic
Mast Brothers,La Red de Guanconejo- N. Highlands coop,0.74,U.S.A.,3.5,Unknown,Dominican Republic
Momotombo,Matagalpa,0.7,Nicaragua,3.75,Unknown,Nicaragua
Momotombo,Mombacho,0.7,Nicaragua,3.75,Unknown,Nicaragua
Momotombo,Oscuro,0.7,Nicaragua,3.75,Unknown,Nicaragua
Oialla by Bojessen (Malmo),Sylvestre- Oialla,0.7,Germany,3.75,Criollo,Bolivia
Olivia,Carribean-Raw,0.76,Canada,3.75,Unknown,Carribean
Olivia,Carribean,0.76,Canada,4,Unknown,Carribean
Olivia,Carribean,0.85,Canada,3.25,Unknown,Carribean
Olivia,Carribean-Raw,0.85,Canada,2.75,Unknown,Carribean
Omanhene,Ghana,0.8,Ghana,3.25,Forastero,Ghana
Original Beans (Felchlin),Alto Beni- Wild Harvest- Itenez R. 24hr c.,0.66,Switzerland,3.25,Unknown,Bolivia
Pacari,Nube- prototype,0.7,Ecuador,3.5,Unknown,Ecuador
Patric,Signature Blend,0.7,U.S.A.,3.5,Blend,Unknown
Potomac,Upala w/ nibs,0.7,U.S.A.,4,Matina,Costa Rica
Potomac,Upala- Batch 18,0.7,U.S.A.,3.25,Matina,Costa Rica
Potomac,San Martin- Amazonian Highlands,0.7,U.S.A.,3.5,Unknown,Peru
Potomac,Bahia,0.7,U.S.A.,3.75,Unknown,Brazil
Pralus,Porcelana- S. of Lake Maracaibo,0.75,France,3.25,Criollo (Porcelana),Venezuela
Raaka,La Red,0.85,U.S.A.,3.25,Unknown,Dominican Republic
Ritual,Costa Rica,0.75,U.S.A.,2.75,Unknown,Costa Rica
Rogue,Silvestre- Batch 1- 2011,0.75,U.S.A.,3,Criollo,Bolivia
Rozsavolgyi,Carenero Superior,0.73,Hungary,2.75,Criollo,Venezuela
Rozsavolgyi,Porcelana,0.71,Hungary,3.75,Unknown,Venezuela
Rozsavolgyi,Aragua- Trincheras,0.7,Hungary,2.5,Unknown,Venezuela
Rozsavolgyi,Principe,0.77,Hungary,2.5,Forastero,Principe
Santome,Sao Tome,0.7,France,2.75,Forastero,Sao Tome
Scharffen Berger,Markham Valley,0.68,U.S.A.,2.75,Unknown,Papua New Guinea
Shark's,Hilo,0.73,U.S.A.,3,Unknown,Hawaii
Shark's,Hilo- w/ added cocoa butter,0.73,U.S.A.,3,Unknown,Hawaii
Shattell,Porcelana,0.75,Peru,3.75,Criollo,Peru
Silvio Bessone,Maya Belize,0.67,Italy,2.75,Criollo,Belize
Silvio Bessone,Trintade- Sao Tome,0.65,Italy,3.25,Forastero,Sao Tome
Silvio Bessone,Bahia- Scavina,0.6,Italy,3,Trinitario,Brazil
Silvio Bessone,Porcelana- Colombia- Amazonas,0.68,Italy,3.5,Criollo- Trinitario,Colombia
Snake & Butterfly,Ghana,0.67,U.S.A.,3.25,Forastero,Ghana
Soma,Grenada- Black Science,0.7,Canada,3.25,Trinitario,Grenada
Soma,Alto Beni- Wild Bolivian,0.7,Canada,3,Nacional,Bolivia
Soma,Peruvian,0.64,Canada,3.25,Unknown,Peru
Soma,Three Amigos(Chuao- Wild Bolivia- D.R.),0.7,Canada,3.25,,Ven- Bolivia- D.R.
Soma,Elvesia P.- Black Science,0.7,Canada,2,Forastero,Dominican Republic
Soma,Chuao,0.7,Canada,2.75,Criollo,Venezuela
Stella (aka Bernrain),India,0.72,Switzerland,2.75,Unknown,India
Szanto Tibor,Crudo,0.7,Hungary,3,Unknown,Venezuela
Taza,Alto Beni,0.87,U.S.A.,3.5,Unknown,Bolivia
Tocoti,Venezuela,0.72,U.S.A.,2.5,Unknown,Venezuela
Tocoti,Dominican Republic,0.74,U.S.A.,2.5,Unknown,Dominican Republic
Tsara (Cinagra),Ambanja- Tsara Valley,0.72,Madagascar,2.5,Unknown,Madagascar
twenty-four blackbirds,Dominican Republic,0.73,U.S.A.,2.5,Unknown,Dominican Republic
Un Dimanche A Paris,Dominican Republic,0.63,France,2.75,Unknown,Dominican Republic
Valrhona,Caraque,0.56,France,3,Unknown,Unknown
Valrhona,Porcelana- Pedegral,0.64,France,3.5,Criollo,Venezuela
Whittakers,Ghana,0.72,New Zealand,3.75,Forastero,Ghana
Woodblock,Ocumare,0.7,U.S.A.,2.75,Unknown,Venezuela
Woodblock,La Red,0.7,U.S.A.,2.5,Unknown,Dominican Republic
Zokoko,Alto Beni,0.68,Australia,2.75,Unknown,Bolivia
Zokoko,Tokiala,0.66,Australia,3,Trinitario,Papua New Guinea
Zokoko,Tranquilidad- Baures,0.72,Australia,2,Unknown,Bolivia
Zotter,Peru,0.7,Austria,3,Unknown,Peru
Zotter,Congo,0.65,Austria,3,Forastero,Congo
Zotter,Kerala State,0.65,Austria,3,Forastero,India
Zotter,Kerala State,0.62,Austria,3.5,Unknown,India
A. Morin,Bolivia,0.7,France,3.5,Unknown,Bolivia
A. Morin,Peru,0.63,France,4,Unknown,Peru
Amedei,Piura- Blanco de Criollo,0.7,Italy,2.25,Unknown,Peru
Artisan du Chocolat,Colombia- Casa Luker,0.72,U.K.,2.5,Unknown,Colombia
Bahen & Co.,Sambirano,0.7,Australia,3,Trinitario,Madagascar
Bahen & Co.,Bahia,0.7,Australia,3.25,Unknown,Brazil
Bahen & Co.,Houseblend,0.7,Australia,2.75,Blend,Unknown
Bar Au Chocolat,Duarte Province,0.7,U.S.A.,2.75,Unknown,Dominican Republic
Bar Au Chocolat,Chiapas,0.7,U.S.A.,2.75,Unknown,Mexico
Bar Au Chocolat,Sambirano,0.7,U.S.A.,2.75,Trinitario,Madagascar
Baravelli's,single estate,0.8,Wales,3.5,Unknown,Costa Rica
Bernachon,Nature,0.55,France,3.75,Unknown,Unknown
Bittersweet Origins,Ghana,0.72,U.S.A.,3.5,Forastero,Ghana
Blue Bandana,Guatemala,0.7,U.S.A.,3.5,Unknown,Guatemala
Blue Bandana,Madagascar,0.7,U.S.A.,3.75,Trinitario,Madagascar
Cacao Prieto,Criollo- Dominican Republic,0.72,U.S.A.,3.75,Criollo,Dominican Republic
C-Amaro,Venezuela,0.8,Italy,3,Unknown,Venezuela
